year,date,decade,sample_window,headline,abstract,lead_paragraph,snippet,section,news_desk,type_of_material,document_type,word_count,keywords,url
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,'Democracy' List Excluded Group of Nations : Clinton's Stance on Rights Challenges Ties With Asia,"On a recent visit to Thailand, President Bill Clinton took a backhanded swipe at a large group of East Asian countries by excluding them from a list he named to illustrate ""democracy's march across Asia."".Speaking at Chulalongkorn University",,"On a recent visit to Thailand, President Bill Clinton took a backhanded swipe at a large group of East Asian countries by excluding them from a list he named to illustrate ""democracy's march across Asia."".Speaking at Chulalongkorn University",,IHT News,,article,6062,,https://www.nytimes.com/1997/01/02/IHT-democracy-list-excluded-group-of-nations-clintons-stance-on-rights.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,A Prison Term in Tibet,"Editorial scores China for imposing harsh, 18-year prison sentence on 30-year-old Tibetan scholar Ngawang Choepel for espionage (M)",,"Editorial scores China for imposing harsh, 18-year prison sentence on 30-year-old Tibetan scholar Ngawang Choepel for espionage (M)",Opinion,Editorial Desk,Editorial,article,473,"China; Tibet; CHOEPEL, NGAWANG; Espionage; Editorials; Sentences (Criminal); Politics and Government; Freedom and Human Rights",https://www.nytimes.com/1997/01/02/opinion/a-prison-term-in-tibet.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,BOOKS : CHRISTOPHER ISHERWOOD,,,,Style,IHT News,,article,6272,,https://www.nytimes.com/1997/01/02/style/IHT-books-christopher-isherwood.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,China's Demand for Control Pits Ethics Against Profits,China is using its huge size and rapid growth rate in dictating terms under which it will open its markets to specific foreign businesses; Clinton Administration is unsure whther it is willing to confront political curbs China is imposing on trade and foreign investments; photo (M),,China is using its huge size and rapid growth rate in dictating terms under which it will open its markets to specific foreign businesses; Clinton Administration is unsure whther it is willing to confront political curbs China is imposing on trade and foreign investments; photo (M),Business,Business/Financial Desk,News,article,992,"China; Clinton, Bill; Foreign Investments; United States International Relations; International Trade and World Market; Politics and Government; China-International Relations-US; Economic Conditions and Trends",https://www.nytimes.com/1997/01/02/business/china-s-demand-for-control-pits-ethics-against-profits.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,Hong Kong Isn't on Edge Despite China Takeover,"Hong Kong's economy seems unperturbed by planned Chinese takeover, continuing to grow at 4.7 percent annual rate; foreign investors are generally bullish on Hong Kong's short-term outlook (M)",,"Hong Kong's economy seems unperturbed by planned Chinese takeover, continuing to grow at 4.7 percent annual rate; foreign investors are generally bullish on Hong Kong's short-term outlook (M)",Business,Business/Financial Desk,News,article,840,Hong Kong; Great Britain; China; Foreign Investments; Economic Conditions and Trends,https://www.nytimes.com/1997/01/02/business/hong-kong-isn-t-on-edge-despite-china-takeover.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,I Remember Larry,William Safire Op-Ed column examines some new politico-economic aspects of Clinton Administration's Asian money scandal (M),,William Safire Op-Ed column examines some new politico-economic aspects of Clinton Administration's Asian money scandal (M),Opinion,Editorial Desk,Op-Ed,article,667,"United States; Clinton, Bill; Finances; Ethics; Elections; Presidential Election of 1996",https://www.nytimes.com/1997/01/02/opinion/i-remember-larry.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,INSIDE,,,,Business,Business/Financial Desk,Summary,article,164,,https://www.nytimes.com/1997/01/02/business/inside-993530.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,"Republican Fund-Raisers Found Asian Money, Too",Jerome M Garchik letter disputes December 28 article on fund-raising efforts by Pres Clinton's re-election campaign among Asian-Americans (S),,Jerome M Garchik letter disputes December 28 article on fund-raising efforts by Pres Clinton's re-election campaign among Asian-Americans (S),Opinion,Editorial Desk,Letter,article,189,"Clinton, Bill; Garchik, Jerome M; Finances; Elections; Presidential Election of 1996; Asian-Americans",https://www.nytimes.com/1997/01/02/opinion/l-republican-fund-raisers-found-asian-money-too-980935.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,Sellers in Search of Buyers in a Global Marketplace,,,,Business,Business/Financial Desk,News,article,445,,https://www.nytimes.com/1997/01/02/business/sellers-in-search-of-buyers-in-a-global-marketplace.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,Some Big Rewards and Some Letdowns Overseas,Foreign stock performance in 1996 reviewed; poor performance of Japanese stocks for dollar-based investors obscures stronger results in other markets (M)ï,,Foreign stock performance in 1996 reviewed; poor performance of Japanese stocks for dollar-based investors obscures stronger results in other markets (M)ï,Business,Business/Financial Desk,News,article,1168,Japan; Foreign Investments; Currency; Stocks and Bonds,https://www.nytimes.com/1997/01/02/business/some-big-rewards-and-some-letdowns-overseas.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,Specs: An Expense of Spirit and Cash,Olivia Goldsmith article details unexpected costs involved in renovating her 1803 house; photo (M),,Olivia Goldsmith article details unexpected costs involved in renovating her 1803 house; photo (M),Home & Garden,Home Desk,News,article,899,"Goldsmith, Olivia; HOUSING",https://www.nytimes.com/1997/01/02/garden/specs-an-expense-of-spirit-and-cash.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,WHAT'S AHEAD: Hong Kong's New Owner,,,,Business,Business/Financial Desk,News,article,55,,https://www.nytimes.com/1997/01/02/business/what-s-ahead-hong-kong-s-new-owner.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,What's Behind CITIC's Insider Share Sale?,"What in the world is CITIC up to?. The mainland Chinese company and its Hong Kong offspring, CITIC Pacific Ltd., are supposed to set the standard for transparency and corporate governance in this colony — so the announcement Monday that CITIC Pacif",,"What in the world is CITIC up to?. The mainland Chinese company and its Hong Kong offspring, CITIC Pacific Ltd., are supposed to set the standard for transparency and corporate governance in this colony — so the announcement Monday that CITIC Pacif",Business,IHT News,,article,4353,,https://www.nytimes.com/1997/01/02/business/worldbusiness/IHT-whats-behind-citics-insider-share-sale.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,"Where a Dog Can Be a Pet, or a Dining Experience","Even though many middle-class South Koreans currently keep dogs as pets, others still regard them as old-fashioned delicacy, butchering them for meat; some Government officials dislike custom of eating dogs out of fear that it may harm nation's image, while many young people sometimes object simply because they see dogs as animals to be petted, rather than sold as meat; photo (M)",,"Even though many middle-class South Koreans currently keep dogs as pets, others still regard them as old-fashioned delicacy, butchering them for meat; some Government officials dislike custom of eating dogs out of fear that it may harm nation's image, while many young people sometimes object simply because they see dogs as animals to be petted, rather than sold as meat; photo (M)",World,Foreign Desk,News,article,997,South Korea; Dogs; Meat; Cruelty to Animals,https://www.nytimes.com/1997/01/02/world/where-a-dog-can-be-a-pet-or-a-dining-experience.html
1997,1997-01-02T05:00:00Z,1990s,Jan-Feb,White Sales: Luxury Minus the Usual Green,Number of New York stores offer luxury linens at Jan white sales; photo (S),,Number of New York stores offer luxury linens at Jan white sales; photo (S),Home & Garden,Home Desk,News,article,246,New York City; LINEN AND LINEN SUPPLIES,https://www.nytimes.com/1997/01/02/garden/white-sales-luxury-minus-the-usual-green.html
1997,1997-03-01T05:00:00Z,1990s,Mar-Apr,"As Fish Farming Goes, It Faces Mounting Environmental Challenges","Aquaculture, or fish farming, is one of world's fastest-growing food industries, with demand for seafood far outpacing production capacity of oceans and streams; globally, sales have reached $33.5 billion; expansion of the industry, however, has come at substantial cost to environment, giving rise to experiments like huge enclosed tanks for raising salmon used by Mariculture Systems Inc of Seattle; photos; chart (M)",,"Aquaculture, or fish farming, is one of world's fastest-growing food industries, with demand for seafood far outpacing production capacity of oceans and streams; globally, sales have reached $33.5 billion; expansion of the industry, however, has come at substantial cost to environment, giving rise to experiments like huge enclosed tanks for raising salmon used by Mariculture Systems Inc of Seattle; photos; chart (M)",Business,Business/Financial Desk,News,article,1636,Mariculture Systems Inc; AQUACULTURE; Salmon; Fish Farming; Fish and Other Marine Life,https://www.nytimes.com/1997/03/01/business/as-fish-farming-goes-it-faces-mounting-environmental-challenges.html
1997,1997-03-01T05:00:00Z,1990s,Mar-Apr,Democrats Say They'll Return About $1.5 Million More in Questionable Gifts,"Democratic Party, after three-month internal audit, announces it will return nearly $1.5 million in additional contributions that it now believes may have been illegal or improper; most of money was raised by three Asian-American businessmen whose fund-raising practices have come under sharp scrutiny by Federal prosecutors and Congressional investigators; they are John Huang, Charles Yah Lin Trie and Johnny Chung (M)",,"Democratic Party, after three-month internal audit, announces it will return nearly $1.5 million in additional contributions that it now believes may have been illegal or improper; most of money was raised by three Asian-American businessmen whose fund-raising practices have come under sharp scrutiny by Federal prosecutors and Congressional investigators; they are John Huang, Charles Yah Lin Trie and Johnny Chung (M)",U.S.,National Desk,Text,article,1292,"United States; Chung, Johnny; Trie, Charles Yah Lin; Huang, John; Finances; Elections; Presidential Election of 1996",https://www.nytimes.com/1997/03/01/us/democrats-say-they-ll-return-about-1.5-million-more-in-questionable-gifts.html
1997,1997-03-01T05:00:00Z,1990s,Mar-Apr,Hong Kong Stock Issue Thwarted And a Beijing Role Is Suspected,"World of Hong Kong business--which has boasted of immunity from territory's political tremors as China prepares to resume sovereignty in four months--is jolted out of its reverie; leading investment banking concern abruptly withdraws as underwriter for local magazine and newspaper company that was on verge of issuing shares for first time on Hong Kong Stock Exchange; company, Next Media Group Ltd, publishes some of harshest criticism of China, and decision to drop stock sale is seen as result of political pressure from Beijing; Next Media is owned by Jimmy Lai, retail clothing entrepreneur and vociferous critic of China; Next Media had chosen Sun Hung Kai International Ltd as underwriter for deal (M)",,"World of Hong Kong business--which has boasted of immunity from territory's political tremors as China prepares to resume sovereignty in four months--is jolted out of its reverie; leading investment banking concern abruptly withdraws as underwriter for local magazine and newspaper company that was on verge of issuing shares for first time on Hong Kong Stock Exchange; company, Next Media Group Ltd, publishes some of harshest criticism of China, and decision to drop stock sale is seen as result of political pressure from Beijing; Next Media is owned by Jimmy Lai, retail clothing entrepreneur and vociferous critic of China; Next Media had chosen Sun Hung Kai International Ltd as underwriter for deal (M)",Business,Business/Financial Desk,News,article,1043,"Hong Kong; China; NEXT MEDIA GROUP LTD; Sun Hung Kai International Ltd; Lai, Jimmy; Stocks and Bonds",https://www.nytimes.com/1997/03/01/business/hong-kong-stock-issue-thwarted-and-a-beijing-role-is-suspected.html
1997,1997-03-01T05:00:00Z,1990s,Mar-Apr,Japanese Fears Give Boost to Nationalists,Mark Mason letter lauds Edward J Lincoln's perceptive commentary on Japanese economy (Feb 22),,Mark Mason letter lauds Edward J Lincoln's perceptive commentary on Japanese economy (Feb 22),Opinion,Editorial Desk,Letter,article,103,"Japan; Mason, Mark; Lincoln, Edward J; Economic Conditions and Trends",https://www.nytimes.com/1997/03/01/opinion/l-japanese-fears-give-boost-to-nationalists-874213.html
