year,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
2012,41,1820,12.966713661961215,5.056352693074402,2.6290208554259453,3.587821540219306,16.55453520218052,7.685373548500348,8.869161653680175,7.685373548500348,16.55453520218052,4.090706081449165,38.529510107842405,3.264047418799311,2.127428860473184,3.049542302019722,7.188980673652514,0.11463414634146342,0.0975609756097561,21,6,3,6,62,6,4,8,4,15
2013,48,2125,21.475246807845725,7.168650006854637,1.5480603911454975,2.002099423547511,23.477346231393238,8.716710398000133,14.760635833393101,8.716710398000133,23.477346231393238,5.009099447964164,46.187813011148016,10.36675433148705,5.873094882721113,0.680004835589942,2.701550075220288,0.4322916666666667,0.027777777777777776,44,17,4,5,92,27,12,6,2,8
2014,41,1759,11.333038928047436,12.146060544640271,1.4299945370995213,5.31983384452153,16.652872772568966,13.57605508173979,3.076817690829174,13.57605508173979,16.652872772568966,9.204044701089527,27.732321555261766,11.513421554575372,1.2836970474967906,5.046085922200949,13.366407639520988,0.43983739837398367,0.15853658536585366,18,23,2,6,44,24,4,7,7,29
2015,48,2152,17.348688672198644,11.472011890870554,0.7575757575757575,6.96330510293999,24.31199377513863,12.229587648446312,12.082406126692321,12.229587648446312,24.31199377513863,7.01842390065448,37.53252182259818,15.842856983544223,6.780337804773894,2.9360799276053506,7.327890037593985,0.5288194444444444,0.05902777777777778,36,23,2,13,83,31,15,15,5,15
2016,33,1536,16.30693338151578,6.9439363544998445,4.398880300245971,8.404325455441024,24.711258836956805,11.342816654745814,13.368442182210993,11.342816654745814,24.711258836956805,8.79282676037326,30.81882045149983,20.412054821248596,0.0,6.952740331072691,8.357603969597397,0.604040404040404,0.2626262626262626,26,13,7,14,54,29,0,14,10,9
2017,34,1506,22.80979947405457,21.793643071808127,2.243092532807849,10.833791726731226,33.6435912007858,24.036735604615977,9.60685559616982,24.036735604615977,33.6435912007858,3.256266886630196,30.19229558152174,31.43776856678189,3.4732600653092227,8.722631564703176,2.169085369002737,1.3901960784313725,0.17647058823529413,36,38,3,19,49,55,6,19,13,3
2018,29,1384,17.74649727441767,18.632974568704213,10.365615511571946,8.076550050191203,25.82304732460887,28.99859008027616,-3.1755427556672893,28.99859008027616,25.82304732460887,10.622723167227207,31.153500125311368,19.677185486244433,10.69890379485582,16.80218999320482,7.9219092875749455,0.7549261083743842,0.44252873563218387,28,28,10,14,47,32,13,14,24,12
2019,40,2029,9.306479225189246,12.90608828098477,3.86018806458138,9.169448349890965,18.475927575080213,16.76627634556615,1.709651229514061,16.76627634556615,18.475927575080213,10.124741034159486,16.150766551981842,26.507689674321803,9.610368347070475,9.733935546903364,8.557928665520631,1.2180555555555554,0.2791666666666667,20,24,8,21,31,52,18,21,17,15
2020,70,3127,9.80677485639358,12.740474077353847,2.043108451361952,4.065915053508062,13.872689909901645,14.7835825287158,-0.910892618814154,14.7835825287158,13.872689909901645,11.190058456555473,23.279819335761896,15.657089475962422,5.703452732885111,5.002027303571249,4.906891346789045,0.6476190476190475,0.18333333333333335,26,40,7,13,70,49,23,13,16,14
2021,71,3211,11.553735643976374,8.876266289693277,3.182005578098689,7.0928912290929675,18.64662687306934,12.058271867791966,6.588355005277375,12.058271867791966,18.64662687306934,4.446631087988755,30.618641062885466,11.157316983588839,7.970104338036487,7.793016371997432,2.7540278918305474,0.5070422535211268,0.19812206572769953,37,30,11,27,101,40,22,27,27,11
2022,34,1470,8.136944895208988,21.4582978621859,7.394161117744372,5.219051275001073,13.355996170210059,28.852458979930276,-15.496462809720212,28.852458979930276,13.355996170210059,17.10980470848661,23.121792823493237,24.35560931295767,3.5077667430608606,11.881798149518435,5.949262629165712,0.7666369578134283,0.37450980392156863,15,29,10,9,38,36,3,9,17,8
2023,67,3323,11.928224277559284,22.299367964361256,1.715324476518506,12.564497857938125,24.49272213549741,24.01469244087976,0.4780296946176482,24.01469244087976,24.49272213549741,10.97133827201232,29.788010897506535,29.242744373448236,12.191308199556504,9.019957659056473,1.4226539072597406,1.1803482587064675,0.22661691542288556,35,72,4,38,111,98,46,46,28,6
2024,75,3477,10.636774175712594,9.671003155998276,2.9333311273738083,8.616019367161085,19.25279354287368,12.604334283372085,6.648459259501595,12.604334283372085,19.25279354287368,5.4142163592665735,24.28082516060348,12.631108336631975,8.294657254120825,5.047414214014442,5.461055208127807,0.3997142857142857,0.15111111111111108,43,34,9,32,92,45,25,34,17,19
2025,72,3657,25.69756730042731,17.414468748143534,11.65048083751922,12.18788928211635,37.885456582543654,29.064949585662752,8.820506996880903,29.064949585662752,37.885456582543654,5.73812905819672,38.021873471530604,23.679665340601154,5.714969910833407,17.639773717892396,2.8569927633663568,1.063150352733686,0.538723544973545,96,68,39,51,140,95,16,53,64,10
